Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Borough 1,Total Units 1,Age 1,Has Elevator 1,Gross SqFt 1,Estimated Gross Income 1,Estimated Expense 1,Net Operating Income 1,Full Market Value 1,Borough 2,Total Units 2,Age 2,Has Elevator 2,Gross SqFt 2,Estimated Gross Income 2,Estimated Expense 2,Net Operating Income 2,Full Market Value 2,Borough 3,Total Units 3,Age 3,Has Elevator 3,Gross SqFt 3,Estimated Gross Income 3,Estimated Expense 3,Net Operating Income 3,Full Market Value 3
1,47,96.0,0,92402.0,3065898.0,1042295.0,2023603.0,15278009.0,1,100,100.0,1,64598.0,2683514.0,773367.0,1910147.0,14422000.0,1,81,81.0,1,83837.0,2782003.0,945881.0,1836122.0,13863000.0,1,54,97.0,1,104942.0,3255293.0,1290498.0,1964795.0,14834000.0
1,12,118.0,1,14269.0,595731.0,177364.0,418367.0,3367001.0,1,18,118.0,0,12072.0,504006.0,150055.0,353951.0,2315000.0,1,23,118.0,0,10850.0,465574.0,154070.0,311504.0,3469000.0,1,24,98.0,0,17136.0,699834.0,180785.0,519049.0,2702000.0
3,22,12.0,0,28967.0,533282.0,177278.0,356004.0,2731002.0,3,65,77.0,1,71400.0,1314474.0,436968.0,877506.0,4096000.0,3,66,79.0,1,71400.0,1315188.0,412692.0,902496.0,4856000.0,3,48,80.0,1,47000.0,848820.0,294220.0,554600.0,1905000.0
3,16,31.0,1,10556.0,208375.0,80226.0,128150.0,986000.0,3,48,97.0,0,31236.0,600044.0,216778.0,383266.0,2816000.0,3,13,89.0,0,8100.0,159894.0,61560.0,98334.0,760000.0,3,21,89.0,0,12000.0,242880.0,103320.0,139560.0,739000.0
1,10,12.0,0,11679.0,301669.0,125783.0,175886.0,1407000.0,1,47,80.0,1,29412.0,835889.0,414709.0,421180.0,2831000.0,1,25,117.0,1,25482.0,611058.0,282595.0,328463.0,1493000.0,1,54,97.0,1,38904.0,1004890.0,418996.0,585894.0,3149000.0
3,28,7.0,0,32523.0,689813.0,160989.0,528824.0,3866997.0,3,18,7.0,1,26000.0,551570.0,128755.0,422815.0,2860000.0,3,58,7.0,1,46133.0,1119600.0,258829.0,860771.0,6441000.0,3,18,7.0,1,13000.0,273319.0,80614.0,192705.0,1377000.0
1,9,108.0,0,27250.0,897615.0,221543.0,676072.0,5385001.0,1,70,98.0,1,33750.0,1111725.0,274388.0,837337.0,11596000.0,1,60,98.0,1,38880.0,1229386.0,380246.0,849140.0,10280000.0,1,86,98.0,1,44256.0,1491870.0,389010.0,1102860.0,13099000.0
1,88,114.0,0,88060.0,2536128.0,945764.0,1590364.0,12726021.0,1,46,76.0,1,44160.0,1306253.0,465446.0,840807.0,3343000.0,1,49,91.0,1,42783.0,1216749.0,404299.0,812450.0,2690000.0,1,124,86.0,1,115776.0,3334349.0,1243434.0,2090915.0,8610000.0
3,16,17.0,1,11725.0,377193.0,132024.0,245170.0,1976000.0,3,16,114.0,0,13385.0,430595.0,125819.0,304776.0,2455000.0,3,20,7.0,0,15000.0,408450.0,80700.0,327750.0,2614000.0,3,12,113.0,0,10508.0,379024.0,84484.0,294539.0,2381000.0
3,19,100.0,0,19397.0,460485.0,215889.0,244596.0,1930000.0,3,18,10.0,1,20816.0,488343.0,229600.0,258743.0,1992000.0,3,48,85.0,1,49428.0,1173421.0,550134.0,623287.0,4973000.0,3,133,93.0,1,136362.0,3265870.0,1420892.0,1844978.0,9007000.0
1,12,6.0,0,19956.0,952899.0,357412.0,595487.0,4832000.0,1,49,101.0,1,52850.0,2082819.0,531143.0,1551676.0,12650000.0,1,20,101.0,0,9695.0,517131.0,112753.0,404378.0,3265000.0,1,38,76.0,1,25482.0,1216766.0,339930.0,876836.0,7115000.0
3,12,19.0,1,20931.0,551323.0,192984.0,358339.0,2882000.0,3,12,106.0,0,5500.0,144870.0,80245.0,64625.0,726000.0,3,35,106.0,0,20838.0,485942.0,184625.0,301317.0,2393000.0,3,22,91.0,0,11650.0,381887.0,153081.0,228806.0,1860000.0
1,31,106.0,0,88615.0,4833948.0,1153767.0,3680181.0,29665000.0,1,64,93.0,1,38330.0,2128082.0,870091.0,1257991.0,13283000.0,1,52,97.0,1,38214.0,1982160.0,675624.0,1306537.0,9876000.0,1,76,59.0,1,43770.0,2387654.0,569885.0,1817768.0,12875000.0
3,32,11.0,0,31920.0,871735.0,235250.0,636485.0,5130000.0,3,54,95.0,1,46000.0,970140.0,361100.0,609040.0,4774000.0,3,64,2.0,1,59840.0,1634230.0,441021.0,1193210.0,9617000.0,3,116,4.0,1,90820.0,2632872.0,1184293.0,1448579.0,11719000.0
2,46,11.0,0,50221.0,1114906.0,468060.0,646846.0,5047000.0,2,53,92.0,1,60200.0,1334634.0,594174.0,740460.0,1872000.0,2,78,92.0,1,95500.0,2120100.0,979830.0,1140270.0,4095000.0,2,69,91.0,1,87000.0,1962720.0,870000.0,1092720.0,3666000.0
4,23,5.0,0,30302.0,807245.0,307565.0,499680.0,3806999.0,4,50,63.0,1,52801.0,1406619.0,535930.0,870689.0,3635000.0,4,54,14.0,1,53860.0,1441294.0,547218.0,894076.0,5056000.0,4,49,45.0,1,33490.0,888825.0,336909.0,551916.0,2651000.0
1,22,15.0,0,25512.0,583715.0,154092.0,429622.0,3366000.0,1,74,97.0,1,66300.0,1390974.0,633828.0,757146.0,5858000.0,1,47,97.0,1,29436.0,831861.0,301130.0,530731.0,4670000.0,1,40,97.0,1,50742.0,1160977.0,434352.0,726625.0,5695000.0
1,42,117.0,0,49892.0,2937142.0,648596.0,2288546.0,18306993.0,1,36,67.0,1,26800.0,1564584.0,240396.0,1324188.0,4542000.0,1,77,53.0,1,56508.0,3326626.0,734604.0,2592022.0,16977000.0,1,28,117.0,1,28321.0,1776010.0,293689.0,1482321.0,5748000.0
3,14,9.0,0,13881.0,266124.0,103154.0,162970.0,1176999.0,3,35,99.0,1,21000.0,402608.0,156058.0,246550.0,1423000.0,3,18,9.0,1,13000.0,239804.0,112307.0,127497.0,1379000.0,3,16,7.0,1,15959.0,308862.0,128066.0,180796.0,2903000.0
4,121,12.0,0,113450.0,3111934.0,1093658.0,2018276.0,16259004.0,4,120,55.0,1,103850.0,2876645.0,945035.0,1931610.0,10448000.0,4,72,90.0,1,78660.0,2144272.0,678049.0,1466223.0,4843000.0,4,73,60.0,1,76956.0,2110903.0,741856.0,1369047.0,6578000.0
4,15,11.0,1,11288.0,308162.0,74275.0,233887.0,1883009.0,4,15,44.0,0,10400.0,283920.0,68432.0,215488.0,1330000.0,4,11,50.0,0,9300.0,253890.0,51057.0,202833.0,595000.0,4,11,22.0,0,8268.0,219102.0,48368.0,170734.0,917000.0
4,20,30.0,1,20922.0,394170.0,189135.0,205036.0,1576000.0,4,18,32.0,0,17600.0,331584.0,143264.0,188320.0,1447000.0,4,16,46.0,0,12120.0,211252.0,75750.0,135502.0,1026000.0,4,16,44.0,0,11140.0,292536.0,118975.0,173561.0,1395000.0
